val_loss,val_acc,loss,acc
0.7176823384309541,0.7659543325526932,0.6825256931139658,0.7788165983606558
0.7222790669920294,0.7649663348946136,0.6547624704709377,0.7807560011709602
0.7271701882678396,0.7693025468384075,0.6499505746560018,0.7816891100702577
0.7296824195625073,0.7688817330210773,0.647507479235495,0.7816708138173302
0.7360594934964906,0.76745462529274,0.6465541138302805,0.781890368852459
0.7348667775439993,0.7691561768149883,0.6457003173560113,0.7812865925058547
0.7355914270500947,0.7690463992974239,0.6449865689043139,0.78125
0.7377934666651473,0.7696135831381733,0.6449445858772243,0.7814146662763466
0.7397290120638506,0.7690281030444965,0.6443572992184123,0.7812317037470726
0.7362838237430787,0.7693391393442623,0.6434571847703474,0.7815610362997658
0.7376874853143648,0.7691561768149883,0.6431796744779904,0.7815427400468384
0.740299390476258,0.7689732142857143,0.6431392068326892,0.7815061475409836
0.7376913923848708,0.7689549180327869,0.6430767174347781,0.781615925058548
0.7402890436962003,0.7685889929742389,0.6426737459258676,0.7815244437939111
0.7411562628014584,0.7688817330210773,0.6421624604935389,0.7819452576112412
0.7398737012921228,0.7686804742388759,0.6419247400006868,0.7819452576112412
0.7416226223843997,0.7685158079625293,0.6417277992748823,0.7820550351288056
0.7379306538043592,0.7694489168618267,0.6414296989976941,0.7824209601873536
0.7420833783629907,0.7685889929742389,0.6410448308292541,0.7822014051522248
0.7425645792930969,0.7676192915690867,0.6409104328244855,0.7824575526932084
0.7417618804709415,0.7684975117096019,0.6406825951167515,0.7825856264637002
0.7441106132936143,0.7676558840749415,0.6407201075163044,0.7826588114754098
0.7427469845119629,0.7677290690866511,0.6402700459650026,0.7827502927400468
0.7437762567812721,0.7676375878220141,0.6400910258572331,0.7826771077283372
0.7436596567653102,0.7676558840749415,0.6401272174625263,0.7827868852459017
0.7444294115628795,0.7678571428571429,0.6397117091565278,0.7828417740046838
0.7442577648777035,0.7678571428571429,0.639660336094662,0.7829332552693209
0.7460933156677934,0.7677290690866511,0.6396306172466948,0.7826954039812647
0.746048632843433,0.7673082552693209,0.6394043200468291,0.7829698477751756
